City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,las tablas,7.7667,-80.2833,26.62,87,100,3.98,PA,1690395520
110,rafsanjan,30.4067,55.9939,33.15,10,1,5.06,IR,1690395521
111,kill devil hills,36.0307,-75.676,32.0,74,0,4.63,US,1690395471
112,mount gambier,-37.8333,140.7667,7.28,82,26,4.1,AU,1690395521
113,bambari,5.768,20.6757,22.92,92,87,0.64,CF,1690395522
114,fort bragg,35.139,-79.006,36.57,48,20,0.45,US,1690395522
115,punta arenas,-53.15,-70.9167,2.77,68,40,6.22,CL,1690395522
116,anadyr,64.75,177.4833,10.28,93,75,3.58,RU,1690395522
117,korsun-shevchenkivskyi,49.4189,31.2587,22.2,72,73,0.71,UA,1690395523
118,west island,-12.1568,96.8225,23.99,88,40,9.77,CC,1690395523
119,ancud,-41.8697,-73.8203,9.2,79,100,2.23,CL,1690395423
120,vorgashor,67.5833,63.95,14.75,89,96,3.93,RU,1690395523
121,belyy yar,53.6039,91.3903,13.94,94,12,3.0,RU,1690395524
122,inari,68.906,27.0288,15.11,79,94,1.16,FI,1690395524
123,margate,51.3813,1.3862,17.61,70,96,3.58,GB,1690395524
124,stanley,54.868,-1.6985,18.27,65,96,2.57,GB,1690395525
125,bethel,41.3712,-73.414,31.08,60,0,4.12,US,1690395379
126,enewetak,11.3474,162.3373,28.19,74,95,7.01,MH,1690395525
127,langsa,4.4683,97.9683,23.97,97,61,1.32,ID,1690395525
128,el bayadh,33.6832,1.0193,36.19,9,9,1.52,DZ,1690395526
129,tolanaro,-25.0319,46.9987,18.31,70,74,3.98,MG,1690395526
130,nguigmi,14.2495,13.1092,33.1,45,88,3.4,NE,1690395427
131,yeppoon,-23.1333,150.7333,15.88,80,74,5.34,AU,1690395400
132,saint-joseph,-21.3667,55.6167,20.21,82,27,3.79,RE,1690395527
133,akureyri,65.6835,-18.0878,10.96,76,75,4.12,IS,1690395527
134,college,64.8569,-147.8028,23.04,74,75,2.06,US,1690395396
135,kimbe,-5.5502,150.1429,24.74,84,92,1.83,PG,1690395323
136,urucara,-2.5364,-57.76,37.11,27,2,2.2,BR,1690395528
